time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0	3	"The Red Wheelbarrow"	Transcription
3	6	"So much depends upon the red wheelbarrow"	Transcription
6	11	"Glazed with rainwater beside the white chickens"	Transcription
